question,strategy,acc,fanout,matches_compiler,distinct_results,abstained
x01,A,PASS,FANOUT_SAFE,true,1,false
x02,A,PASS,FANOUT_SAFE,true,1,false
x03,A,ERROR,N/A,,1,false
x04,A,FAIL,FANOUT_SAFE,true,1,false
x05,A,PASS,FANOUT_SAFE,true,1,false
x06,A,PASS,FANOUT_SAFE,true,1,false
x07,A,PASS,FANOUT_SAFE,true,1,false
x08,A,FAIL,FANOUT_SAFE,true,1,false
x09,A,ERROR,N/A,,1,false
x10,A,FAIL,FANOUT_SAFE,true,1,false
x12,A,ERROR,N/A,,1,false
x13,A,PASS,FANOUT_SAFE,true,1,false
x13b,A,FAIL,FANOUT_SAFE,true,1,false
x14,A,FAIL,FANOUT_SAFE,true,1,false
x15,A,PASS,FANOUT_SAFE,true,1,false
x16,A,PASS,FANOUT_SAFE,true,1,false
x17,A,ERROR,N/A,,1,false
