txn_id,txn_date,merchant,amount,currency,kind
T1257,2026-06-18,Anthropic,-2238.87,USD,charge
T1047,2026-02-01,Anthropic,-1774.46,USD,charge
T1145,2026-04-06,Figma,-2578.32,USD,charge
T1317,2026-06-06,Internal Transfer,39063.25,USD,transfer
T1043,2026-01-30,Monzo,-2415.1,GBP,charge
T1224,2026-05-27,Monzo,-2678.95,GBP,charge
T1231,2026-05-31,Monzo,-3720.51,GBP,charge
T1285,2026-01-29,Figma,2814.88,USD,refund
T1065,2026-02-09,Deel,-1995.47,USD,charge
T1007,2026-01-04,AWS,-2089.33,USD,charge
T1293,2026-02-25,Lufthansa,1109.98,EUR,refund
T1319,2026-06-08,Internal Transfer,48059.74,USD,transfer
T1054,2026-02-04,WeWork,-3904.26,USD,charge
T1221,2026-05-26,Lufthansa,-3021.39,EUR,charge
T1015,2026-01-09,AWS,-3540.5,USD,charge
T1308,2026-01-03,Internal Transfer,17024.99,USD,transfer
T1071,2026-02-13,Anthropic,-3404.4,USD,charge
T1159,2026-04-18,Monzo,-1764.85,GBP,charge
T1142,2026-04-05,Anthropic,-1345.61,USD,charge
T1005,2026-01-04,OpenAI,-2400.77,USD,charge
T1180,2026-04-27,Lufthansa,-3320.51,EUR,charge
T1020,2026-01-15,Figma,-734.76,USD,charge
T1076,2026-02-15,Monzo,-3031.69,GBP,charge
T1193,2026-05-08,OpenAI,-682.48,USD,charge
T1188,2026-05-02,Anthropic,-2937.08,USD,charge
T1049,2026-02-02,Lufthansa,-3500.9,EUR,charge
T1154,2026-04-13,Monzo,-917.29,GBP,charge
T1149,2026-04-09,Anthropic,-989.28,USD,charge
T1027,2026-01-18,Monzo,-3823.13,GBP,charge
T1226,2026-05-28,Lufthansa,-1554.95,EUR,charge
T1190,2026-05-03,Anthropic,-2549.98,USD,charge
T1214,2026-05-20,Deel,-1031.42,USD,charge
T1248,2026-06-12,AWS,-2891.29,USD,charge
T1195,2026-05-08,Lufthansa,-637.29,EUR,charge
T1150,2026-04-11,Lufthansa,-3872.07,EUR,charge
T1247,2026-06-11,AWS,-1141.62,USD,charge
T1092,2026-02-27,Monzo,-117.88,GBP,charge
T1266,2026-06-24,Figma,-3767.61,USD,charge
T1026,2026-01-18,OpenAI,-3282.3,USD,charge
T1022,2026-01-16,Lufthansa,-2827.99,EUR,charge
T1024,2026-01-16,Deel,-2162.94,USD,charge
T1036,2026-01-27,Figma,-3732.75,USD,charge
T1021,2026-01-15,AWS,-664.09,USD,charge
T1103,2026-03-05,Figma,-2617.06,USD,charge
T1202,2026-05-13,Anthropic,-2870.3,USD,charge
T1225,2026-05-28,Figma,-2697.79,USD,charge
T1117,2026-03-20,Anthropic,-3098.82,USD,charge
T1170,2026-04-23,OpenAI,-793.56,USD,charge
T1232,2026-06-01,Lufthansa,-57.41,EUR,charge
T1102,2026-03-04,Monzo,-524.75,GBP,charge
T1287,2026-03-06,Figma,3894.71,USD,refund
T1318,2026-02-16,Internal Transfer,41333.77,USD,transfer
T1243,2026-06-09,OpenAI,-1988.18,USD,charge
T1079,2026-02-17,Figma,-533.91,USD,charge
T1275,2026-06-28,Anthropic,-2115.57,USD,charge
T1082,2026-02-19,Anthropic,-1658.59,USD,charge
T1294,2026-06-19,Figma,1354.64,USD,refund
T1222,2026-05-26,AWS,-2233.65,USD,charge
T1298,2026-02-08,WeWork,2879.02,USD,refund
T1019,2026-01-12,Lufthansa,-3822.44,EUR,charge
T1177,2026-04-25,Anthropic,-638.29,USD,charge
T1236,2026-06-03,WeWork,-2450.41,USD,charge
T1270,2026-06-26,Anthropic,-1102.06,USD,charge
T1133,2026-03-31,Monzo,-903.11,GBP,charge
T1014,2026-01-09,WeWork,-463.78,USD,charge
T1121,2026-03-24,AWS,-1322.97,USD,charge
T1134,2026-03-31,Anthropic,-3887.99,USD,charge
T1175,2026-04-25,Monzo,-3945.94,GBP,charge
T1089,2026-02-25,Anthropic,-109.67,USD,charge
T1312,2026-04-12,Internal Transfer,44718.7,USD,transfer
T1148,2026-04-07,Monzo,-2911.15,GBP,charge
T1205,2026-05-14,WeWork,-1299.8,USD,charge
T1254,2026-06-14,AWS,-131.58,USD,charge
T1300,2026-04-23,Internal Transfer,36984.7,USD,transfer
T1137,2026-04-03,Deel,-3967.62,USD,charge
T1286,2026-02-04,WeWork,3904.26,USD,refund
T1033,2026-01-24,OpenAI,-3306.12,USD,charge
T1116,2026-03-19,Deel,-1212.42,USD,charge
T1072,2026-02-13,OpenAI,-1597.42,USD,charge
T1199,2026-05-12,WeWork,-2314.1,USD,charge
T1168,2026-04-22,Lufthansa,-1211.17,EUR,charge
T1278,2026-06-29,Lufthansa,-2041.43,EUR,charge
T1031,2026-01-23,Deel,-2278.64,USD,charge
T1321,2026-02-12,Internal Transfer,18011.18,USD,transfer
T1271,2026-06-26,Figma,-2119.45,USD,charge
T1070,2026-02-12,AWS,-1939.41,USD,charge
T1161,2026-04-19,WeWork,-2569.82,USD,charge
T1085,2026-02-21,AWS,-767.8,USD,charge
T1313,2026-05-08,Internal Transfer,29095.9,USD,transfer
T1316,2026-04-24,Internal Transfer,33828.69,USD,transfer
T1127,2026-03-29,WeWork,-3703.29,USD,charge
T1108,2026-03-11,Monzo,-3168.87,GBP,charge
T1185,2026-05-01,OpenAI,-591.55,USD,charge
T1094,2026-02-28,Anthropic,-529.99,USD,charge
T1290,2026-06-23,OpenAI,107.19,USD,refund
T1069,2026-02-11,Anthropic,-179.64,USD,charge
T1039,2026-01-29,Anthropic,-96.25,USD,charge
T1109,2026-03-14,WeWork,-2599.58,USD,charge
T1273,2026-06-27,Deel,-1160.08,USD,charge
T1119,2026-03-23,Deel,-2437.66,USD,charge
T1013,2026-01-09,Monzo,-212.71,GBP,charge
T1083,2026-02-19,Monzo,-2981.9,GBP,charge
T1242,2026-06-08,Monzo,-856.73,GBP,charge
T1192,2026-05-07,OpenAI,-1976.2,USD,charge
T1306,2026-01-10,Internal Transfer,10898.66,USD,transfer
T1229,2026-05-30,WeWork,-1193.17,USD,charge
T1198,2026-05-10,Anthropic,-698.52,USD,charge
T1249,2026-06-12,Lufthansa,-2980.85,EUR,charge
T1184,2026-04-30,Anthropic,-40.53,USD,charge
T1151,2026-04-12,Monzo,-953.97,GBP,charge
T1035,2026-01-26,Deel,-3124.71,USD,charge
T1201,2026-05-13,WeWork,-1965.5,USD,charge
T1086,2026-02-23,Lufthansa,-1394.19,EUR,charge
T1011,2026-01-08,AWS,-2222.4,USD,charge
T1025,2026-01-18,Lufthansa,-3218.34,EUR,charge
T1087,2026-02-24,Lufthansa,-362.31,EUR,charge
