order_id,customer_id,order_date,channel,status,amount_usd
O1001,C001,2026-01-04,web,completed,420.00
O1002,C001,2026-01-19,web,completed,185.50
O1003,C002,2026-01-22,mobile,completed,62.10
O1004,C003,2026-01-25,web,refunded,99.99
O1005,C004,2026-02-01,partner,completed,310.00
O1006,C005,2026-02-03,web,completed,1240.00
O1007,C005,2026-02-08,partner,completed,875.25
O1008,C006,2026-02-10,mobile,cancelled,45.00
O1009,C007,2026-02-14,mobile,completed,72.80
O1010,C007,2026-02-18,web,completed,130.40
O1011,C008,2026-02-21,web,refunded,215.00
O1012,C009,2026-02-25,partner,completed,660.00
O1013,C009,2026-03-02,web,completed,540.75
O1014,C010,2026-03-05,mobile,completed,88.20
O1015,C010,2026-03-09,web,completed,152.60
O1016,C001,2026-03-12,partner,completed,505.00
O1017,C002,2026-03-15,web,completed,118.90
O1018,C004,2026-03-19,mobile,completed,96.30
O1019,C005,2026-03-22,web,completed,1580.00
O1020,C007,2026-03-26,mobile,cancelled,58.00
O1021,C009,2026-03-29,partner,completed,720.50
O1022,C010,2026-04-02,web,completed,201.00
O1023,C005,2026-04-06,web,completed,990.10
O1024,C002,2026-04-09,mobile,completed,74.45
