shipment_id,carrier_id,origin_country,dest_country,shipped_date,weight_kg,freight_cost_eur,is_expedited
1,C01,PT,ES,2026-01-01,124.6,5532.44,false
2,C01,FR,IT,2026-01-02,1629.0,187.77,true
3,C03,ES,DE,2026-01-03,437.0,1837.66,true
4,C02,PT,ES,2026-01-04,2830.9,7637.64,false
5,C01,FR,IT,2026-01-05,133.9,7474.95,false
6,C03,DE,PL,2026-01-06,2924.4,2449.06,false
7,C01,ES,DE,2026-01-07,4105.9,636.66,true
8,C01,ES,FR,2026-01-08,4240.6,3388.19,false
9,C03,NL,DE,2026-01-09,3977.0,9164.04,false
10,C05,ES,FR,2026-01-10,2064.9,1247.3,false
11,C03,NL,DE,2026-01-11,646.9,3184.57,true
12,C03,DE,PL,2026-01-12,3070.1,8193.97,false
13,C02,FR,IT,2026-01-13,1326.2,3975.63,true
14,C05,ES,FR,2026-01-14,1795.3,6675.53,false
15,C02,ES,DE,2026-01-15,187.9,7543.07,false
16,C05,FR,IT,2026-01-16,2722.8,4880.16,true
17,C04,DE,PL,2026-01-17,1066.7,7033.77,false
18,C05,FR,IT,2026-01-18,4728.8,7049.35,false
19,C04,ES,FR,2026-01-19,1077.9,7049.83,false
20,C05,DE,PL,2026-01-20,841.7,891.92,false
21,C03,DE,PL,2026-01-21,3870.4,480.6,true
22,C04,DE,PL,2026-01-22,3378.7,8190.37,false
23,C02,NL,DE,2026-01-23,1610.6,5460.1,false
24,C03,ES,FR,2026-01-24,1938.3,1117.67,false
25,C03,DE,PL,2026-01-25,779.3,6350.02,false
26,C02,PT,ES,2026-01-26,2161.1,8922.97,true
27,C02,PT,ES,2026-01-27,1274.6,4902.99,true
28,C03,PT,ES,2026-01-28,2628.8,2547.12,false
29,C01,ES,FR,2026-01-01,3940.1,632.62,false
30,C04,DE,PL,2026-01-02,245.6,5715.14,false
31,C01,NL,DE,2026-01-03,1418.5,4567.41,false
32,C01,FR,IT,2026-01-04,1250.1,7719.79,true
33,C01,ES,DE,2026-01-05,641.9,2273.37,true
34,C05,PT,ES,2026-01-06,1810.0,5966.89,false
35,C05,DE,PL,2026-01-07,3324.2,891.42,false
36,C03,DE,PL,2026-01-08,2224.0,5061.66,false
37,C04,DE,PL,2026-01-09,3149.2,4336.9,false
38,C05,FR,IT,2026-01-10,2016.7,7953.14,true
39,C04,FR,IT,2026-01-11,1373.2,5447.34,false
40,C04,ES,FR,2026-01-12,1509.2,4607.94,false
41,C04,DE,PL,2026-01-13,87.7,7603.51,false
42,C01,ES,DE,2026-01-14,4156.8,6317.5,false
43,C04,ES,DE,2026-01-15,1882.4,391.41,true
44,C05,ES,DE,2026-01-16,489.4,5596.79,false
45,C05,NL,DE,2026-01-17,2469.9,3008.35,true
46,C05,NL,DE,2026-01-18,1166.1,4988.33,false
47,C04,PT,ES,2026-01-19,1458.0,89.64,false
48,C02,PT,ES,2026-01-20,2106.4,2315.31,false
49,C01,DE,PL,2026-01-21,2035.6,7137.7,false
50,C03,NL,DE,2026-01-22,553.6,4614.04,false
51,C05,PT,ES,2026-01-23,3410.4,3409.2,false
52,C01,DE,PL,2026-01-24,4507.3,7365.28,false
53,C02,ES,DE,2026-01-25,3040.2,4093.44,false
54,C02,NL,DE,2026-01-26,3578.3,3848.22,false
55,C01,ES,FR,2026-01-27,4321.1,8835.83,true
56,C03,PT,ES,2026-01-28,4056.4,799.82,false
57,C01,FR,IT,2026-01-01,1488.9,1664.39,false
58,C05,DE,PL,2026-01-02,3963.9,3165.77,false
59,C05,ES,DE,2026-01-03,1624.4,3671.93,false
