event_id,occurred_at,user_id,event_type,value_cents
1,2026-07-02T01:07:00Z,u002,add_to_cart,14823
2,2026-07-03T02:14:00Z,u003,checkout,18342
3,2026-07-04T03:21:00Z,u004,search,15258
4,2026-07-05T04:28:00Z,u005,signup,14805
5,2026-07-06T05:35:00Z,u006,page_view,16640
6,2026-07-07T06:42:00Z,u007,add_to_cart,19247
7,2026-07-08T07:49:00Z,u008,checkout,6222
8,2026-07-09T08:56:00Z,u009,search,6050
9,2026-07-10T09:03:00Z,u010,signup,16774
10,2026-07-11T10:10:00Z,u011,page_view,15589
11,2026-07-12T11:17:00Z,u012,add_to_cart,20639
12,2026-07-13T12:24:00Z,u013,checkout,20118
13,2026-07-14T13:31:00Z,u014,search,6100
14,2026-07-15T14:38:00Z,u015,signup,3084
15,2026-07-16T15:45:00Z,u016,page_view,14633
16,2026-07-17T16:52:00Z,u017,add_to_cart,9941
17,2026-07-18T17:59:00Z,u018,checkout,4646
18,2026-07-19T18:06:00Z,u019,search,2971
19,2026-07-20T19:13:00Z,u020,signup,17651
20,2026-07-21T20:20:00Z,u021,page_view,22722
21,2026-07-22T21:27:00Z,u022,add_to_cart,20789
22,2026-07-23T22:34:00Z,u023,checkout,1372
23,2026-07-24T23:41:00Z,u001,search,19511
24,2026-07-25T00:48:00Z,u002,signup,12981
25,2026-07-26T01:55:00Z,u003,page_view,14843
26,2026-07-27T02:02:00Z,u004,add_to_cart,21427
27,2026-07-01T03:09:00Z,u005,checkout,20170
28,2026-07-02T04:16:00Z,u006,search,21301
29,2026-07-03T05:23:00Z,u007,signup,5160
30,2026-07-04T06:30:00Z,u008,page_view,20418
31,2026-07-05T07:37:00Z,u009,add_to_cart,491
32,2026-07-06T08:44:00Z,u010,checkout,17313
33,2026-07-07T09:51:00Z,u011,search,2069
34,2026-07-08T10:58:00Z,u012,signup,1951
35,2026-07-09T11:05:00Z,u013,page_view,1168
36,2026-07-10T12:12:00Z,u014,add_to_cart,6232
37,2026-07-11T13:19:00Z,u015,checkout,7927
38,2026-07-12T14:26:00Z,u016,search,19648
39,2026-07-13T15:33:00Z,u017,signup,985
40,2026-07-14T16:40:00Z,u018,page_view,15202
41,2026-07-15T17:47:00Z,u019,add_to_cart,10691
42,2026-07-16T18:54:00Z,u020,checkout,14435
43,2026-07-17T19:01:00Z,u021,search,19364
44,2026-07-18T20:08:00Z,u022,signup,6400
45,2026-07-19T21:15:00Z,u023,page_view,17010
46,2026-07-20T22:22:00Z,u001,add_to_cart,7656
47,2026-07-21T23:29:00Z,u002,checkout,20981
48,2026-07-22T00:36:00Z,u003,search,9638
49,2026-07-23T01:43:00Z,u004,signup,16376
50,2026-07-24T02:50:00Z,u005,page_view,150
51,2026-07-25T03:57:00Z,u006,add_to_cart,21707
52,2026-07-26T04:04:00Z,u007,checkout,2784
53,2026-07-27T05:11:00Z,u008,search,14985
54,2026-07-01T06:18:00Z,u009,signup,21456
55,2026-07-02T07:25:00Z,u010,page_view,9114
56,2026-07-03T08:32:00Z,u011,add_to_cart,13329
57,2026-07-04T09:39:00Z,u012,checkout,18063
58,2026-07-05T10:46:00Z,u013,search,2726
59,2026-07-06T11:53:00Z,u014,signup,23193
60,2026-07-07T12:00:00Z,u015,page_view,8322
