event_id,occurred_at,user_id,event_type,value_cents
101,2026-07-21T05:47:00Z,u012,signup,29875
102,2026-07-21T06:54:00Z,u001,add_to_cart,16809
103,2026-07-21T07:01:00Z,u007,add_to_cart,26568
104,2026-07-21T08:08:00Z,u005,signup,15406
105,2026-07-22T09:15:00Z,u006,checkout,21829
106,2026-07-22T10:22:00Z,u009,page_view,11738
107,2026-07-22T11:29:00Z,u004,signup,25818
108,2026-07-22T12:36:00Z,u009,signup,25469
109,2026-07-23T13:43:00Z,u008,add_to_cart,11502
110,2026-07-23T14:50:00Z,u006,signup,2770
111,2026-07-23T15:57:00Z,u009,page_view,25462
112,2026-07-23T16:04:00Z,u007,signup,18169
113,2026-07-24T17:11:00Z,u006,signup,17681
114,2026-07-24T18:18:00Z,u002,signup,3033
115,2026-07-24T19:25:00Z,u007,signup,25204
116,2026-07-24T20:32:00Z,u002,page_view,18371
117,2026-07-25T21:39:00Z,u002,add_to_cart,22819
118,2026-07-25T22:46:00Z,u003,checkout,21949
119,2026-07-25T23:53:00Z,u008,signup,5681
120,2026-07-25T00:00:00Z,u004,checkout,5282
121,2026-07-26T01:07:00Z,u007,signup,2536
122,2026-07-26T02:14:00Z,u004,page_view,26356
123,2026-07-26T03:21:00Z,u008,signup,23600
124,2026-07-26T04:28:00Z,u008,page_view,2784
125,2026-07-27T05:35:00Z,u010,page_view,13378
126,2026-07-27T06:42:00Z,u003,page_view,27496
127,2026-07-27T07:49:00Z,u008,page_view,28063
128,2026-07-27T08:56:00Z,u006,add_to_cart,25579
129,2026-07-28T09:03:00Z,u008,add_to_cart,599
130,2026-07-28T10:10:00Z,u001,signup,4945
131,2026-07-28T11:17:00Z,u006,page_view,24758
132,2026-07-28T12:24:00Z,u009,add_to_cart,2012
133,2026-07-29T13:31:00Z,u011,checkout,7332
134,2026-07-29T14:38:00Z,u012,checkout,2735
135,2026-07-29T15:45:00Z,u005,checkout,3094
136,2026-07-29T16:52:00Z,u001,page_view,14526
137,2026-07-30T17:59:00Z,u011,add_to_cart,5254
138,2026-07-30T18:06:00Z,u006,add_to_cart,23357
139,2026-07-30T19:13:00Z,u003,add_to_cart,1208
140,2026-07-30T20:20:00Z,u006,checkout,23668
